f,r,o,m
t,o
89367,90483
6030,6029
337986,337988
337988,337989
337989,338059
338059,338060
338060,338063
378137,377454
377454,378139
378139,397940
359469,350426
368384,368385
253424,377213
76987,76402
76402,76991
76991,76401
219554,212509
212509,219348
11213,20614
349976,361787
307431,321932
144123,144122
144122,142052
142052,142046
142046,142045
61366,61046
196864,45968
45968,196865
252219,172595
172595,172170
233013,233008
325758,326346
160192,160410
361164,350389
333410,289206
212987,299602
204699,206177
247771,176856
213292,209357
209357,213294
71537,71817
101891,101889
208542,49634
209657,216825
240064,237253
237253,240060
38249,37332
37332,37680
37680,38247
8113,9929
81945,82782
82782,82471
320623,306419
306419,320622
395386,395517
197678,197913
29840,29799
29799,30280
30280,29798
29798,101089
101089,29797
29797,101841
101841,29796
29796,29734
29734,29730
209544,217125
217125,209540
245305,245304
106707,102294
102294,106704
178089,30732
30732,30731
30731,29509
33672,32237
32237,33663
115931,115929
218201,218189
218189,211722
358272,350460
383288,383289
380072,379272
379272,379271
379271,380071
247517,248369
248369,248368
248368,247424
247424,248367
248367,247423
247423,248366
248366,247422
247422,248365
248365,247400
247400,248360
248360,248359
248359,247357
247357,248356
248356,248355
248355,247352
247352,248354
248354,248353
248353,248352
68053,88504
88504,68052
68052,88503
88503,68051
68051,88502
141841,141840
238348,236954
236954,238349
238349,236952
179081,179080
179080,184154
184154,179079
276046,275436
29715,58170
187150,187640
103685,109065
109065,103682
245281,245276
245276,245275
245275,245269
167901,167898
167898,167897
164223,164221
164221,164219
164219,164218
346893,346894
106725,184330
184330,184391
183219,178872
178872,183220
283781,397827
397827,397544
397544,397828
397828,397547
397547,397829
49631,49610
297288,295687
19511,335709
210038,216306
249594,249592
192097,192673
8127,9835
7544,7554
95313,94168
28612,28619
298286,295656
395390,395513
260513,265100
8427,361921
102233,106519
117923,117956
117956,117922
117922,117950
117950,117921
248868,248866
18117,19429
94652,93714
273485,273484
134414,135194
45620,360629
360629,46081
159421,158268
158268,159426
159426,159427
172792,172803
172803,172812
172812,172359
172359,172816
172816,172818
172818,172365
172365,172368
187187,187179
283658,266932
258083,257774
257774,88753
88753,257773
187890,187327
105691,105687
203787,203338
368511,377361
1503,1988
112465,112482
18078,8871
379434,380341
235656,235652
235652,72331
72331,72328
297898,297900
326877,326884
326884,326886
175831,175465
104040,109557
203511,203633
203633,203636
203636,203522
45611,46074
46074,46072
285584,332061
273181,273178
397550,397556
397556,397558
60002,60001
74642,74346
74346,75483
304104,39203
39203,39208
216279,216282
320412,305248
305248,320413
320413,320426
320426,305346
305346,305353
305353,320429
320429,320430
320430,305357
305357,305398
305398,320440
320440,320443
320443,305401
305401,320444
320444,305402
305402,305405
305405,320445
320445,305488
305488,320457
320457,320458
320458,305496
305496,320459
320459,320461
269203,269204
172772,171870
203453,395158
395158,395480
395480,203455
70594,69665
190847,190859
190859,190876
380324,379430
379430,380325
79940,79941
79941,79988
79988,79996
2169,2204
7651,7652
7245,7201
7201,7193
37604,38132
38132,37603
99376,378668
61265,61444
61444,61257
61257,61440
183329,179967
242259,242256
242256,242252
163783,163782
163782,167960
167960,167959
291219,291218
235912,234691
12105,8750
233410,233409
304404,320755
81253,80835
80835,82033
68008,76746
76746,88441
88441,270248
270248,299718
299718,366946
366946,52425
52425,171392
171392,285365
285365,332067
332067,335942
335942,252943
203200,203201
361379,350225
103272,106025
304928,323682
299583,273332
273332,273333
273333,299584
299584,273341
23933,23932
23932,23931
113305,113306
113306,114537
114537,113307
113307,113308
113308,114538
114538,113309
41072,42181
361682,350070
321611,321610
321610,321606
321606,321605
321605,192624
336176,335803
32629,32627
32627,32626
349989,349995
238510,238512
238512,238513
238513,238515
111629,112117
299140,295371
295371,295372
85205,85206
38110,321258
369431,154481
154481,173595
181019,185442
235709,235706
167935,167934
70609,69674
58873,46351
68818,63184
63184,63185
63185,63186
63186,68819
167754,167757
167757,167782
37476,37862
49987,49982
22240,23393
23393,22243
22243,22244
193983,50071
50071,193985
193985,193984
144823,139535
101189,101157
101157,101150
101150,101148
51132,49491
157328,157866
157866,43939
43939,201380
201380,46100
295563,295571
295571,299279
299279,295592
250825,250832
